episode,season,episode_number,title,airdate,rating,total_votes,desc
15,1,15,My Funky Valentine,2/10/10,8.7,1915,Jay takes Gloria to see David Brenner. Mitchell and Cameron try to set Manny up on a date. Phil and Claire try to spice things up by going on a romantic getaway.
16,1,16,Fears,3/3/10,8,1639,Haley confronts a terrifying driving examiner in her third attempt to pass the road test. Alex is nervous about a school dance. Gloria taunts Jay and Manny to ride a roller coaster. Phil and Luke look for treasure under the house.
17,1,17,Truth Be Told,3/10/10,7.9,1656,"Jay accidentally kills Manny's pet turtle and lies about it, Claire becomes jealous when Phil's ex-girlfriend pays a visit, and Mitchell makes a bold decision after he misses a family day because he's called in to work."
18,1,18,Starry Night,3/24/10,8.1,1637,"Jay and Mitchell attempt to bond while watching a meteor shower, but things don't go according to plan. Gloria and Cameron try to find something else to occupy their time. Claire and Phil try to help their kids with their school projects."
19,1,19,Game Changer,3/31/10,7.9,1613,"Jay takes on Gloria and Manny in the ultimate chess game. Claire goes all out to find a cool new electronic gadget for Phil's birthday gift, and Cameron pokes his nose into a neighbor's affairs."
20,1,20,Benched,4/14/10,7.7,1602,"Jay and Phil vie for the same coaching position on Manny and Luke's basketball team. Mitchell helps Cameron with a job interview, and Gloria and Claire talk about their kids growing up."
21,1,21,Travels with Scout,4/28/10,7.8,1600,"Cameron wants to join Dylan's band. Claire is suspicious when Phil's father pays a visit, and Manny is traumatized by a horror movie."
22,1,22,Airport 2010,5/5/10,8.2,1691,Gloria's birthday present to Jay of a trip to Hawaii becomes a vacation for the entire family.
23,1,23,Hawaii,5/12/10,8.5,1764,"Jay's plan to relax in Hawaii are thwarted. Phil tries to make the vacation special for Claire, but this results in the kids being unsupervised. Mitchell and Cameron debate on what to see."
24,1,24,Family Portrait,5/19/10,8.6,1819,"Claire goes through great lengths to organize a family portrait. Gloria and Phil have an awkward moment while taking Manny and Alex to a Lakers game. Cameron becomes a wedding singer, and Jay has to help Luke with a school project."
25,2,1,The Old Wagon,9/22/10,8,1642,"The Dunphys get nostalgic when Phil has to get rid of their station wagon. Cameron begs Jay to intervene when Mitchell wants to build Lily a castle, and Manny invites a girl over to study."
26,2,2,The Kiss,9/29/10,8.1,1625,"Cameron is upset with Mitchell's lack of public affection, Gloria gets back at Jay for disrespecting her Colombian traditions, and Claire goes overboard as Alex tries to get her first kiss."
27,2,3,Earthquake,10/6/10,7.8,1575,"When an earthquake hits the area, Claire gets locked in the bathroom with a plumber, Cameron and Mitchell use it as an excuse to get out of brunch with an obnoxious friend, and Manny reevaluates the meaning of life while on a trip with Jay."
28,2,4,Strangers on a Treadmill,10/13/10,8,1540,"Mitchell and Claire agree to break some embarrassing news to each other's significant others, Jay makes a fool of himself at what he thinks is a quinceanera, and Haley helps Alex try to make a popular friend."
29,2,5,Unplugged,10/20/10,8.2,1585,"Phil, Claire, and the kids try to improve their communication skills by giving up their electronic devices. Gloria is getting obsessed over a neighbor's barking dog, and Mitchell and Cameron try to find a preschool for Lily."
30,2,6,Halloween,10/27/10,8.5,1737,"Claire needs the family's help to run Halloween smoothly at their house. Jay and Manny have fun at Gloria's expense, and the holiday brings back painful memories for Cameron."
31,2,7,Chirp,11/3/10,7.7,1513,"While Claire and Haley get sick at the same time, Phil wages battle against a chirping smoke detector. Manny accidentally gets one of Jay's employees fired, and Cameron wants to put Lily in a TV commercial."
32,2,8,Manny Get Your Gun,11/17/10,8.4,1680,A birthday dinner for Manny at a family restaurant turns into a race for Phil and Claire and a chance for Cameron to socialize at a shopping mall while looking for a gift.
33,2,9,Mother Tucker,11/24/10,7.6,1455,Jay and Manny's online diagnosis of Jay's illness makes matters worse. A visit from Cameron's mother sends Mitchell into a frenzy. Phil is more upset about Haley's breakup with Dylan than she is.
34,2,10,Dance Dance Revelation,12/8/10,7.5,1462,"Claire is threatened when Gloria becomes her co-chair for a school dance, Jay bullies Phil into taking a stand during a trip to the mall, and Mitchell and Cameron discover that their daughter is a biter."
35,2,11,Slow Down Your Neighbors,1/5/11,8.2,1617,"Claire tries to stop a woman from speeding in the neighborhood, which creates a business conflict for Phil. Meanwhile, Mitchell and Cameron befriend a strange new neighbor, and Gloria and Manny learn how to ride a bicycle."
36,2,12,"Our Children, Ourselves",1/12/11,7.8,1483,"Phil and Claire question their intelligence after a comment by Alex, Mitchell suspects that he fathered a child 8 years ago, and Gloria tells an embarrassing lie about Jay to cover up his rudeness to another couple."
37,2,13,Caught in the Act,1/19/11,9,2201,"Phil and Claire's kids walk in on them having sex while delivering their anniversary present, Gloria tries to keep Claire from seeing an angry e-mail, and Mitchell and Cameron contemplate how to cover up a juice stain on a rug."
38,2,14,Bixby's Back,2/9/11,8,1470,"Phil and Clair try to revisit an old Valentine's Day act, Jay tries to surprise Gloria with a romantic dinner, Mitchell and Cameron disagree over Mitchell's assistant's crush, and Manny gives Haley relationship advice."
39,2,15,Princess Party,2/16/11,7.6,1475,"Dede hooks up with Claire's high school boyfriend the night before Lily's birthday party. Meanwhile, Mitchell won't let Cameron play Fizbo the Clown at the party, while Gloria self-medicates to cope with Dede."
40,2,16,Regrets Only,2/23/11,8.1,1457,"Gloria helps Phil figure out why Claire is mad at him, Mitchell forgets to send out invitations to Cameron's fund raiser, and Alex tries to prove that Haley is lying when she says she has a job as a waitress."
41,2,17,Two Monkeys and a Panda,3/2/11,7.8,1432,"Phil spends the day at the spa while Claire tries to replace Haley's favorite sweater, Cameron discovers Mitchell's dirty secret about Lily's adoption, and Jay and Gloria argue over their final resting place."
42,2,18,Boys' Night,3/23/11,8.3,1504,"Phil and Claire have some trepidation when they find out that Luke has befriended their crotchety old neighbor, Mr. Kleezak; Jay's attempt to avoid sitting through a symphony concert with Gloria and Manny lands him in the middle of Mitchell and Cameron's ""boys' night out""; and Haley has her own adventures in babysitting with Lily."
43,2,19,The Musical Man,4/13/11,8.3,1542,"Phil's new real estate ad creates embarrassment for Claire and Haley, Cameron goes over the top while directing a school musical, and Jay's brother comes to town with some surprising news."
44,2,20,Someone to Watch Over Lily,4/20/11,8.1,1422,"Mitchell and Cameron try to determine Lily's guardian in case something happens to them, Claire is scared that Luke will turn out like Phil, and Haley bonds with Alex after she is forced to take Alex to cello practice."
45,2,21,Mother's Day,5/4/11,8.1,1459,"Cameron is upset that Mitchell thinks he's the ""Mom"" of the family, Claire and Gloria take the kids on a disastrous hike, and Phil witnesses Jay tearing up while they prepare Mother's Day dinner."
46,2,22,Good Cop Bad Dog,5/11/11,8.2,1475,"Phil and Claire trade discipline roles for the day, Gloria forces Jay to listen to a horrible business proposal, and Mitchell tries to convince a sick Cameron to let him go to the Lady Gaga concert without him."
47,2,23,See You Next Fall,5/18/11,8.2,1461,"Haley tries to convince Alex not to deliver an angry graduation speech, Jay has a botched Botox procedure, and Cameron gets upset with Mitchell because he keeps laughing at his accidents."
48,2,24,The One That Got Away,5/25/11,8,1432,"Jay wants nothing more than to have a quiet birthday out fishing on the lake, but the family take that as him wanting a big celebration, and in their frantic scramble to put everything together, Claire and Mitchell wind up trapped in the yard of their childhood home; Phil runs into his old college nemesis while at the mall with Gloria and Lily; Cameron gets himself into some hot water at the bakery, and the kids frantically do some creative editing on grandpa's birthday video, all of which leaves Jay with a headache."
49,3,1,Dude Ranch,9/21/11,8,1624,"The family's dude ranch vacation turns into disaster when Dylan proposes to Haley, Alex gets an unexpected first kiss, their cowboy guide keeps hitting on Gloria, and Phil goes out of his way to impress Jay."
50,3,2,When Good Kids Go Bad,9/21/11,8.2,1512,"Lily has problems with Mitchell and Cameron's plans to adopt another child, Jay tries to get Manny to confess to stealing a locket at school, and Claire goes to extreme lengths to prove that she was right in an argument."
51,3,3,Phil on Wire,9/28/11,8.1,1516,"Phil tries to learn tightrope walking, Haley and Alex wind up in the same math class, Gloria becomes upset over Jay's pampering of the dog, and Mitchell joins Cameron on a juice fast."
52,3,4,Door to Door,10/5/11,7.9,1430,"Claire recruits her family to help gather signatures for a petition to get a stop sign, Gloria loses the family dog, Jay helps Manny try to sell wrapping paper for school, and Cameron leaves a mess in the kitchen for Mitchell."
53,3,5,Hit and Run,10/12/11,7.8,1413,"Claire leaves Phil at home to watch the kids while she applies to run for public office, Mitchell and Cameron are victimized by a hit-and-run driver, and an annoying client asks Jay to ""wow"" him."
54,3,6,Go Bullfrogs!,10/19/11,7.7,1410,"While Phil takes Haley on a tour of his alma mater, Claire goes out on the town with a man she mistakenly assumes is Mitchell and Cameron's gay friend. Meanwhile, Gloria is alarmed and curious about Manny's mail-order package."
55,3,7,Treehouse,11/2/11,8.2,1522,"Phil tries to build a treehouse, Haley struggles with writing a college admissions essay, Cameron hits on a single woman to win a bet with Mitchell, and Jay doesn't want to go out salsa dancing with Gloria and another couple."
56,3,8,After the Fire,11/16/11,7.9,1370,"As the family collects goods for a family whose house burned down, Jay makes an embarrassing remark to Phil during a massage, Claire is jealous of Mitchell's friendship with Gloria, and Cameron struggles with a moving van in a parking lot."
57,3,9,Punkin Chunkin,11/23/11,7.9,1409,"Phil is upset that Claire is stifling his creativity, Mitchell doesn't believe Cameron's ""punkin chunkin"" story, Gloria won't let Jay tell Manny that his Thanksgiving centerpiece is horrible, and Hayley and Alex get in an accident."
58,3,10,Express Christmas,12/7/11,8.1,1465,"Phil proposes that the entire family celebrate ""Express Christmas"" together on December 16, when they discover that they won't be spending Christmas Day together."
59,3,11,Lifetime Supply,1/4/12,7.8,1398,"After having a doctor's visit but then missing the call with the test results, Phil automatically jumps to conclusions and starts saying his goodbyes. Meanwhile Javier pops up unannounced again and takes Manny to the horse races for a belated birthday celebration, and a subtle competition ensues when Mitchell brings home an environmental law award and it becomes a game of who has the bigger trophy."
60,3,12,Egg Drop,1/11/12,7.7,1375,"While Jay and Claire become hyper-competitive while working on their boys' science project, Gloria tries to help Phil with his real estate seminar. Meanwhile, Cameron and Mitchell interview a potential birth mother."
61,3,13,Little Bo Bleep,1/18/12,8.5,1582,"Claire's family tries to help her prepare for her political debate, Lily begins saying the ""F word"" right before her appearance as a flower girl at a wedding, and Jay begins to wonder if his dog Stella is suicidal."
62,3,14,Me? Jealous?,2/8/12,8,1393,"Claire thinks Phil's prospective new client is hitting on her, tensions rise as Mitchell and Cameron temporarily stay with Jay and Gloria, and Alex becomes jealous when Hayley volunteers as a Big Sister."
63,3,15,Aunt Mommy,2/15/12,8.1,1373,"Claire makes a drunken decision to donate her egg for Mitchell and Cameron's next child, while Manny gets hurt after Jay gets him into a football game."
64,3,16,Virgin Territory,2/22/12,7.8,1395,"Alex accidentally reveals a secret about Haley to their dad, Cameron fakes a back injury to catch Claire in a lie, Mitchell confesses a secret about one of Jay's proudest moments, and Luke helps Manny try to impress a girl."
65,3,17,Leap Day,2/29/12,8,1414,"Claire, Hayley, and Alex's cycles ruin Phil's big Leap Day plans, Mitchell tries to throw an elaborate party for Cameron's ""tenth"" birthday, and Gloria wants Jay to get in a fight."
66,3,18,Send Out the Clowns,3/14/12,7.5,1376,"Cameron reunites an old clown act despite Mitchell's warnings, Phil plays hardball with a rival to get a listing, Manny's new ""friend"" has a crush on Gloria, and Claire wants her daughters to friend her on Facebook."
67,3,19,Election Day,4/11/12,7.8,1357,"It's Claire's election day, and the entire family tries in vain to pitch in to help her win the vote. Meanwhile, Haley anxiously awaits her final chance to get accepted into a college."
68,3,20,The Last Walt,4/18/12,7.6,1309,"Cameron's dad is visiting from the farm, and when Jay comes over, it's two manly men squaring off."
69,3,21,"Planes, Trains and Cars",5/2/12,7.7,1305,"Phil makes an impulsive car purchase and wonders how Claire will react, Jay struggles to get himself and his family to a weekend with the guys at Pebble Beach, and Mitchell and Cameron lose Lily's stuffed bunny on the subway."
70,3,22,Disneyland,5/9/12,8.2,1415,Visiting the happiest place on earth triggers old memories and creates new ones.
71,3,23,Tableau Vivant,5/16/12,8,1313,"Jay and Gloria argue about how a waitress is closer to Jay than Gloria. Luke is awarded a medal for putting out a fire he started, Phil tries to fire Mitchell, and Claire and Cam fight about Cam's parenting strategies."
72,3,24,Baby on Board,5/23/12,8.6,1532,"Jay and Manny are left to accompany Lily at her recital as Mitchell and Cameron bring Gloria along as translator as they adopt a Mexican child. Meanwhile, Haley has a surprise announcement about her plans after high school."
73,4,1,Bringing Up Baby,9/26/12,8.3,1646,"Gloria tries to surprise Jay with news on his birthday that she is pregnant, while Phil surprises Jay with a fishing trip. Meanwhile, Mitchell and Cameron debate getting Lily a cat after she loses out on getting a baby brother."
74,4,2,Schooled,10/10/12,8.6,1711,"Phil and Claire get emotional as they send Haley off to school, Manny makes Jay and Gloria take a parenting class, and Mitchell and Cameron clash with lesbian parents from Lily's school."
75,4,3,Snip,10/10/12,8,1359,"Claire has problems with the kids as Phil prepares to get a vasectomy, Gloria refuses to wear maternity clothes, and Mitchell encourages Cameron to get a job."
76,4,4,The Butler's Escape,10/17/12,7.7,1310,"Phil is upset that Luke wants to give up magic, Jay tries to get away from Gloria's snoring, Mitchell does errands as Cameron starts his new job as music teacher, and Alex suddenly becomes more sarcastic."
77,4,5,Open House of Horrors,10/24/12,7.9,1359,"Claire tries to scare Phil on Halloween night, Cameron tries to show off his new slimmer body at his Halloween party, and Mitchell's white lie about Lily's mother gets him in trouble."
78,4,6,Yard Sale,10/31/12,7.8,1307,"A yard sale at Jay's house reveals a secret in Gloria's past, Phil's wild side when he tries Jay's old motorcycle, and concern that Alex's new boyfriend might be gay."
79,4,7,Arrested,11/7/12,8.5,1454,"When Haley is arrested for underage drinking, Phil, Claire, and Mitchell must intervene, leaving Cameron in charge of the kids. Jay's ex-wife, DeDe, makes a surprise visit, and he desperately tries to hide Gloria's pregnancy from her."
80,4,8,Mistery Date,11/14/12,8.2,1403,"While Claire and the kids are away at one of Alex's competitions, one of Cam's friends has a ""date"" with Phil. Meanwhile, Mitchell has a breakthrough with Jay on a shopping trip, and Cameron gets Jay and Gloria a surprise gift."
81,4,9,When a Tree Falls,11/28/12,7.8,1306,"Mitchell and Cameron fight to save a tree, Phil and Jay literally come to blows at a kids' birthday party, Claire goes shopping with Gloria--who is suffering from ""pregnancy brain,"" and Alex tries to get an embarrassing photo of Haley."
82,4,10,Diamond in the Rough,12/12/12,7.8,1289,Gloria buys a microphone so she can sing to her unborn baby. Claire and Cameron try to renovate a baseball field so Luke's and Manny's baseball team has a place to play.
83,4,11,New Year's Eve,1/9/13,8.1,1344,"On New Year's Eve, Jay plays poker with Billy Dee Williams, Phil and Claire try to rekindle their romance, Mitchell and Cameron search for a bar where they fit in, and Haley and Alex stay home to babysit."
84,4,12,Party Crasher,1/16/13,8.4,1465,"Jay and Gloria throw a surprise birthday party for Manny, but their unborn baby may have other plans. Meanwhile, Haley dates a man twice her age, and Cameron becomes jealous of Mitchell and Lily's relationship"
85,4,13,Fulgencio,1/23/13,8.9,2248,"Jay fights with his mother in law over naming the baby, Phil unsuccessfully tries to solve his kids' problems, and Mitchell and Cameron try to curb Lily's snarkiness."
86,4,14,A Slight at the Opera,2/6/13,7.6,1283,"Cam is left without a lead on the first school performance of ""Phantom of the Opera,"" Phil and Mitchell play golf with Jay, and Haley and her boyfriend help Claire take care of the baby."
87,4,15,Heart Broken,2/13/13,7.7,1256,"Phil and Claire's Valentine's plans land Claire in the emergency room, Jay and Gloria try to be intimate for the first time after the baby, and Mitchell has a wild Valentine's night after drinking and blacking out at his party."
88,4,16,Bad Hair Day,2/20/13,7.4,1267,"Claire runs into an old lover at her college reunion, a mishap causes Cam to give the baby a disastrous haircut, and Jay has to put his bowling match on hold to build up Manny's confidence."
89,4,17,Best Men,2/27/13,8,1370,"Mitchell and Cameron are co-best men for a friend's wedding, but the bride has cold feet. Meanwhile, Manny has a crush on the nanny, Phil helps Luke get a date, and Claire and Haley go together to Alex's concert."
90,4,18,The Wow Factor,3/27/13,7.7,1261,"Claire and Cam clash over a fountain as they try to flip a house, Mitchell confronts a playground bully, Jay spends the day alone with Joe, and Phil tries to teach the girls about home repairs."
91,4,19,The Future Dunphys,4/3/13,7.9,1300,"Phil and Claire get a possible glimpse at their future children, Gloria helps Lily get in touch with her Vietnamese heritage, and Jay tries to help Manny get into a prestigious prep school."
92,4,20,Flip Flop,4/10/13,7.7,1240,"Phil pulls out all the stops to flip Cameron and Claire's house and avoid embarrassment from a rival realtor, and Gloria is jealous of Manny's. relationship with her ex-husband Javier's new girlfriend."
93,4,21,Career Day,5/1/13,7.6,1213,"Phil's rival, Gil Thorpe, offers Claire a job, Lily gets a extra-generous gift from the Tooth Fairy, and Jay decides to begin working on his novel."
94,4,22,My Hero,5/8/13,7.8,1232,"Cam is jealous of Mitchell's ex-boyfriend, Claire tries to avoid her dad's job offer, Manny has to write an essay about his hero, Phil tries to teach Gloria to skate, and Hayley tries to help Alex flirt with boys."
95,4,23,Games People Play,5/15/13,7.8,1207,"The Dunphys take an RV trip together, Mitchell and Cam become over-competitive at Lily's gymnastics meet, and Jay and Gloria are upset that they weren't invited to a party."
96,4,24,Goodnight Gracie,5/22/13,8.2,1378,"The family goes to Florida for Phil's mother's funeral. Phil has to honor his mom's odd last request, Jay sees a familiar face, Mitchell defends Gloria in court, and Cameron makes some new friends."
97,5,1,"Suddenly, Last Summer",9/25/13,8.1,1458,"Mitchell and Cam go behind each other's backs to set up the perfect marriage proposal, Gloria is sad about sending Manny to Colombia, and Phil and Claire try to arrange the kids' vacations to maximize their ""alone time."""
98,5,2,First Days,9/25/13,7.8,1327,"Manny and Luke have their first day of high school, Cam works as a substitute social studies teacher, Claire begins her new job working for her dad, and Mitchell's boss hits on Haley."
99,5,3,Larry's Wife,10/2/13,7.5,1261,"Mitchell leaves the wedding plans to Cam, who is busy preparing a cat funeral for Lily. Meanwhile, Phil tries to cater his real estate business to divorced women, and Gloria thinks her baby may be cursed."
100,5,4,Farm Strong,10/9/13,7.8,1250,"Cam's sister comes to town with good news, Phil and Claire agree to skip Luke's soccer game, Gloria refuses to admit she needs glasses, and Alex thinks Jay is cheating at Words With Friends."
101,5,5,The Late Show,10/16/13,8.1,1357,"Jay pulled a lot of strings to get reservations at the hottest new restaurant for a family adult's night out. Unfortunately, in each household everyone is running late."
102,5,6,The Help,10/23/13,7.6,1265,"Phil tries to get dad back in the dating scene, Jay does not like Gloria's new choice for a nanny, and Mitchell and Cameron are not impressed with their old friend Pepper's plans for their wedding."
103,5,7,A Fair to Remember,11/13/13,7.9,1306,"At a local fair, Phil tries to surprise Claire with an anniversary gift, Jay works as a ""police officer,"" Manny enters a cake baking contest, Luke confronts a crush, and Cameron tries to rally the football team."
104,5,8,ClosetCon '13,11/20/13,7.7,1248,"Claire joins Jay at a closet convention; Cam, Mitchell and Lily visit Cam's childhood Missouri farm, Phil breaks Jay's priceless Apollo 13 model, and Hayley and Alex fight over the pizza delivery guy."
105,5,9,The Big Game,12/4/13,7.5,1192,"Cam tries to break a school record as freshman football coach, Phil is on the verge of his first month without selling a house, Claire still struggles with being the boss's daughter, and Mitchell tries to let his boss down easily."
106,5,10,The Old Man & the Tree,12/11/13,7.8,1241,"Luke helps Phil try to reach Canada on his elliptical machine, Jay and Manny try to get a Christmas tree in the wild, Gloria is jealous of Claire and her mom, and a mix-up lands Cam and Lily with the homeless at Christmas."
107,5,11,And One to Grow On,1/8/14,7.5,1197,"Phil tricks Luke into taking a dance class, but the joke is on him when the white lie indirectly lands him in the slammer. Meanwhile, Jay and Gloria throw a birthday party for Manny and Joe but are worried that Manny might be hitting on girls who are way out of his league. And Mitch and Cam are having more problems with planning their wedding when they get a rude awakening in the cutthroat world of booking a wedding venue."
108,5,12,Under Pressure,1/15/14,8.5,1491,"The parents go to open house at school, Alex goes see a therapist, Manny and Luke have a double date with twins, and Mitchell doesn't feel like he's ""green"" enough after speaking to his neighbor."
109,5,13,Three Dinners,1/22/14,8.1,1283,"Phil and Claire take Hayley to dinner to discuss her future, Shorty tells Jay that he and his wife are moving to Costa Rica, and Mitchell and Cam unknowingly interrupt a couple's surprise engagement dinner."
110,5,14,iSpy,2/5/14,8,1240,"Gloria is suspicious of Jay after he says ""baby"" in a dream, Phil and Claire spy on Haley, Luke and Manny, and Mitchell is reluctant to share some juicy gossip with Cameron."
111,5,15,The Feud,2/26/14,7.7,1214,"The feud between Phil and Gil Thorpe reaches a new level, a lice outbreak hits the family, Haley and Alex are trapped in the basement by a possum, and Manny and Gloria are embarrassed during a school field trip."
112,5,16,Spring-A-Ding-Fling,3/5/14,7.7,1197,"A returning teacher steals Cam's thunder at the school dance he organized, Mitchell discovers that his new boss is evil, Hayley goes with Phil to an awards show, and Jay and Gloria try to get Lily to confess."
113,5,17,Other People's Children,3/12/14,7.9,1198,"Gloria and Claire take Lily dress shopping, Jay teaches woodworking to Luke, Cameron tries to get out of a museum trip, and Phil helps Andy make a video for his girlfriend--which Hayley thinks is lame."
114,5,18,Vegas,3/26/14,9.2,2641,"On a trip to Las Vegas, Jay wheels and deals to get a better room, Claire tries to win back the money she lost last year, Phil tries to get into a magician's club, and Cameron chooses a bachelor party over a spa day with Mitchell."
115,5,19,A Hard Jay's Night,4/2/14,7.8,1186,Jay's plans to host a family evening are derailed when Phil gets in trouble trying to sell Gloria's old apartment and Mitchell doesn't approve of the wedding topper Cameron's father made.
116,5,20,Australia,4/23/14,8,1309,The family joins Phil in Australia as he fulfills his late mother's wishes to discover where his parents had their honeymoon.
117,5,21,Sleeper,4/30/14,7.6,1167,"Phil has to tell an elaborate lie to Claire when he messes up a household task. Gloria is put in charge of the family portrait, and Jay enters Stella in a dog show."
118,5,22,Message Received,5/7/14,8.3,1236,"Mitchell and Cameron have to sell a few prized possessions to afford their wedding. Phil and Claire are the victims of a practical joke pulled off by their kids. Jay, Gloria and Manny are each forced to confront a fear."
119,5,23,"The Wedding, Part 1",5/14/14,8.2,1260,"Preparations for Mitchell and Cameron's wedding become a logistical nightmare, especially when a wildfire pushes the wedding time four hours ahead of schedule."
120,5,24,"The Wedding, Part 2",5/21/14,8.6,1482,A series of mishaps and unruly guests threaten to undermine Mitchell and Camerson's wedding.
121,6,1,The Long Honeymoon,9/24/14,8,1425,Cameron isn't ready to conclude his honeymoon with Mitchell after their wedding. Gloria takes Jay to task over his appearance. The Dunphys must ready themselves for the return to school.
122,6,2,Don't Push,10/1/14,8,1331,"Phil, Luke, and Haley cause nothing but aggravation for Alex when they tag along on her tour of Caltech. Jay and Gloria have trouble finding the perfect gifts for their anniversary."
123,6,3,The Cold,10/8/14,7.8,1260,"The Dunphys are down with a cold, thanks to Phil. Jay and Gloria try to help Manny deal with playing football, and Cameron doesn't know how much playtime to give him. Mitchell debates with Lily's new friend, Sydney."
124,6,4,Marco Polo,10/15/14,7.9,1255,"Things become tense when the Dunphys temporarily move into a hotel, Gloria is suspicious of Manny's new girlfriend, and Mitchell discovers that he has jinxed Cameron's football team."
125,6,5,Won't You Be Our Neighbor,10/22/14,7.9,1248,"The Dunphys try to persuade the perfect couple to move in next door, Manny dates the daughter of Jay's biggest nemesis, and Mitchell and Cameron try to get Lily a new teacher."
126,6,6,Halloween 3: AwesomeLand,10/29/14,7.6,1231,Phil takes over Halloween decorating duties from Claire. Jay is upset when he wants to dress up as Prince Charming but Gloria buys him a Shrek costume. Mitchell has a problem in court with the stenographer working in a scary costume.
127,6,7,"Queer Eyes, Full Hearts",11/12/14,8.1,1261,"Haley and Andy start spending a lot of time together. Gloria wants Manny to learn Spanish at school instead of French, and a reporter takes more than a passing interest in Cameron and Mitchell's lives."
128,6,8,Three Turkeys,11/19/14,8.4,1377,Phil and Luke take over Thanksgiving duties but Claire readies an emergency plan. Jay and Gloria get their holiday plans interrupted and regret not telling anyone. Cameron has to think of a way to get Lily to wear a dress for dinner.
129,6,9,Strangers in the Night,12/3/14,7.6,1206,"Jay and Gloria try to get out of parties they must attend. Mitchell's kind gesture to a co-worker backfires on him, and Phil and Claire think Alex is lying when she tells them she found a boyfriend."
130,6,10,Haley's 21st Birthday,12/10/14,8.1,1266,"Haley celebrates her 21st birthday, but will anything go wrong?"
131,6,11,The Day We Almost Died,1/7/15,8.3,1431,"While driving out to get breakfast, the Dunphys including Manny have a near death experience causing everyone to reevaluate their lives. Claire resolves to be more fun and less uptight, Haley and Alex agree not to fight anymore, Manny refuses to ever ride in a car again, Luke wants to check off his bucket list, Phil decides to be a take action type of guy and the rest of the family has to bear the brunt of all the new attitudes."
132,6,12,The Big Guns,1/14/15,7.7,1214,"The Dunphys want their neighbors to move their boat out the driveway, Jay is determined to potty train his son while Manny learns the hard way he wasn't a special child, and Mitchell disapproves when Cam trains Lily to be Fizbo's sidekick."
133,6,13,Rash Decisions,2/4/15,7.5,1173,"When Phil thinks Luke is giving him the cold shoulder. Andy becomes Phil's new right-hand man. Meanwhile, Jay may have to give Stella away because Joe is allergic to her, and Mitchell savors being the popular guy in the office."
134,6,14,Valentine's Day 4: Twisted Sister,2/11/15,7.8,1184,Claire has difficulty in accepting that Phil is more interested by her alter-ego Juliana. Gloria's sister tries to seduce Jay. Mitch and Cam have to get back a present for their friend Anders.
